kanji,hiragana/katakana,persian,english
立秋,りっしゅう,اولین روز پاییز,
立春,りっしゅん,اولین روز بهار,
立場,たちば,موقعیت (شغلی),
立体構造,りったいこうぞう,ساختار سه بعدی,
立地,りっち,محل,
立冬,りっとう,اولین زمستان,
立派な,りっぱな,قابل تحسین,noble
流れ,ながれ,جریان,
流行,りゅうこう,"محبوب شدن ، مد شدن ، همه گیری",
流行っている,はやっている,مد روز است,
流行る,はやる,"شایع شدن 
رایج شدن",
流出する,りゅうしゅつする,نشت کردن,spill
流体,りゅうたい,"سیال ، مایع",
流暢,りゅうちょう,روان (صحبت کردن),
流通,りゅうつう,توزیع و گردش (محصول),
溜める,ためる,انباشتن,
溜め込む,ためこむ,احتکار,
留意事項,りゅういじこう,چیزهایی که باید در نظر داشت,
留学,りゅうがく,تحصیل در خارج,
留学試験,"りゅうがく
しけん","امتحان ورودی
دانشگاه خارجی",
留学生,"りゅうがく
せい",دانش آموز خارجی,
留学生調書,りゅうがくせいちょうしょ,سابقه دانشجویی بین المللی,
留守,るす,غیبت,Absent
留守番,るすばん,در خانه ماندن,
竜巻,たつまき,گردباد,
竜田揚げ たら,たつたあげたら,ماهی کاد سرخ شده تاتسوتا,
旅行,りょこう,سفر,
旅行箱,りょこうばこ,جعبه مسافرتی,
旅立つ,たびだつ,"مسافرت طولانی
رفتن اون دنیا",
虜になる,とりこになる,"شیفته شدن ، اسیر شدن",
了解です。,りょうかいです。,دریافت کردم.,
了承します,りょうしょうします,من میفهمم,
両側,りょうがわ,دو طرف,
両方,りょうほう,هردو,
寮,りょう,خوابگاه,
料金,りょうきん,حقوق,
料金表,りょうきんひょう,لیست قیمت,
料理,りょうり,آشپزی,
料理酒,りょうりしゅ,الکل غذایی,
料理長。 コック長。,りょうりちょう。こっくちょう。,سرآشپز سر آشپز,
良い面,いいめん,طرف خوب,
良かった,よかった,خوب بود,
良心,りょうしん,وجدان,
領域,りょういき,منطقه / زمینه,field
領収書,りょうしゅうしょ,رسید,receipt
領土,りょうど,قلمرو,territory
"臨床心理士
公認心理師","りんしょうしんりし
こうにんしんりし","روانشناس بالینی
روانشناس خبره",
隣,となり,کناری,
隣人,りんじん,همسایه,
涙,なみだ,اشک,
類推する,るいすいする,یک قیاس انجام دهید,
類推見積法,るいすいみつもりほう,روش تخمین قیاسی,
例,れい,تشکر,
例外的,れいがいてき,استثنایی,exception
冷たい目,つめたいめ,"نگاه سرد ، نامطلوب",to look unfavourably on
冷やす,ひやす,سرد کردن,
冷水機,れいすいき,خنک کننده آب,
冷蔵解凍,れいぞうかいとう,ذوب در یخچال,
冷蔵庫,れいぞうこ,یخچال,
冷蔵保管する,"れいぞう
ほかんする","در یخچال 
نگهداری شود",
冷淡,れいたん,بی عاطفه,
冷凍,れいとう,فریز کردن,
冷房,れいぼう,سرمایش,
励みになりました,はげみになりました,دلگرم کننده بود,
礼儀,れいぎ,ادب,polite
礼儀正しい,れいぎただしい,با ادب,
零す,こぼす,ریختن,
零行列,れいぎょうれつ,ماتریس صفر,
暦,こよみ,تقویم,
歴史,れきし,تاریخ,
列,れつ,ستون,
列車,れっしゃ,قطار - تعلیم دادن,
列島,れっとう,مجمع الجزایر,
廉正,れんせい,راست بودن,
恋,こい,عشق,
恋愛,れんあい,رابطه عاشقانه,
恋愛中,れんあいちゅう,عاشق,
恋人,こいびと,عاشق,
練習する,れんしゅう,تمرین,
練習試合,れんしゅうじあい,مسابقه تمرینی,
練馬区役所,ねりまくやくしょ,دفتر نریما بخش,
連なる,つらなる,ادامه دارد,
連れ,つれ,همراه و همدم,
連休,れんきゅう,تعطیلات متوالی,
連想配列,れんそうはいれつ,آرایه انجمنی,
連続,れんぞく,"به طور مداوم ، متوالی",
連帯保証人個人,れんたいほしょうにんこじん,ضامن شخصی,
連絡,れんらく,تماس گرفتن,
連絡先,れんらくさき,آدرس تماس,
連立,れんりつ,همزمان,
労働基準法,ろうどうきじゅんほう,قانون استانداردهای کار,
労働条件確認書,ろうどうじょうけんかくにんしょ,تایید شرایط کار,
老若男女,ろうにゃくなんにょ,جوان و پیر,
蝋燭,ろうそく,شمع,
論争,ろんそう,جر و بحث,
論文の,ろんぶんの,پایان نامه,
論理,ろんり,منطق,
論理的,ろんりてき,منطقی,
和える,あえる,همزدن,
和やかな人,なごやかなひと,فرد صلح طلب,
和室,わしつ,اتاق به سبک ژاپنی,
和文化,わぶんか,فرهنگ ژاپنی,
話し合う,はなしあう,بحث و گفتگو,
話す,はなす,صحبت کردن,
歪み,ゆがみ,"اعوجاج ، خمیدگی",
賄い料理,まかないりょうり,وعده غذایی,
惑星,わくせい,سیارات,planets
枠,わく,چهارچوب,
枠組,わくぐみ,چارچوب,framework
枠組み,わくぐみ,چارچوب,
詫びる,わびる,عذر خواهی کردن,
腕,うで,بازو,
腕を組む,うでをくむ,به بازوش قلاب کن,
腕立て伏せをする,うでたてふせをする,شنا رفتن,
侘びる,わびる,نگران بودن,
俯く,うつむく,"سرت و پایین بندازی
از خجالت",
做し,とおるし,فکر کردم,
刹那の,せつなの,انی,
嗅覚,きゅうかく,حس بویایی,
嘴,くちばし,منقار,
囁く,ささやく,زمزمه کردن,
屁,へ,گوز,fart
抓む,つまむ,گرفتن,
揶揄う,からかう,تمسخر,
曖昧な返事,あいまいなへんじ,پاسخ مبهم,
炒め,いため,تف دادن ,
痒い,かゆい,خارش دار,
眩しい,まぶしい,خیره کننده,"bright , vivid"
睨む,にらむ,خیره شدن,
瞼,まぶた,پلک ها,
舐める,なめる,لیس زدن,
茹でる,ゆでる,جوشاندن,
蕾,つぼみ,جوانه,
貶す,けなす,تحقیر کردن,
躊躇,ちゅうちょする,تردید کردن,hesitate
躾け,しつけ,انضباط,discipline
鋏,はさみ,قیچی,
騙されて,だまされて,فریب خورده,
騙す,だます,فریب خوردن,
騙する,だまする,فریب دادن / گول زدن,
イケメン,イケメン,خوش قیافه,
マーケティング,マーケティング,بازاریابی,marketing
アイディア,アイディア,اندیشه,
インデント,インデント,تورفتگی,
ほうき,ほうき,"قلم مو ، برس",brush
インターネット,インターネット,اینترنت,internet
ホットスポット,ホットスポット,اشتراک گذاری اینترنت,hotspot
アンテナ,アンテナ,آنتن,antenna
つくづく「と」,つくづく「と」,"تا حد زیادی ، اونقدرا","deeply , greatly"
カブセル,カブセル,کپسول,
シロップ,シロップ,شربت,
いわゆる,いわゆる,به اصطلاح,
あらゆる,あらゆる,"همه ، هر",
アイシーカード,アイシーカード,کارت پرداخت,ic card
あいつ,あいつ,"اون شخص ، مرد ، پسر","him/her,that person"
アイドル,アイドル,معروف,idol
あいにくな,あいにくな,"افتضاحه ، بده برام",im afraid/unfortunately
アウトドア,アウトドア,در اتومات,automatic door
あえて,あえて,جرأت کردن,venture to
アクセスする,アクセスする,دسترسی دادن,access
イライラ,イライラ,"آزردگی ، کلافگی",
ずるい,ずるい,حیله گر,
あと,あと,بعد,"after , later"
アドバイスする,アドバイスする,مشورت دادن به کسی,advice
アナウンスする,アナウンスする,صدای پخش شده از جایی,announcement
アピールする,アピールする,برجسته کردن,appeal
アプローチする,アプローチする,رویکرد,approach
アポ,アポ,قرار ملاقات,appointment
アポイント,アポイント,قرار ملاقات,appointment
アポなし,アポなし,بدون قرار قبلی,no appointment
ついていく,ついていく,دنبال کردن,follow
リゾート,リゾート,استراحتگاه,
カバレッジ,カバレッジ,پوشش,
ツアー,ツアー,تور,
グマ,グマ,خرس,
そっと,そっと,به آرامی,
ドラマ,ドラマ,تاریخی,dram
たっぷり,たっぷり,فراوان ,
バケツ,バケツ,سطل,
ハンドル,ハンドル,فرمان,
ノック,ノック,در زدن,
テーマ,テーマ,تم ,
チョーク,チョーク,گچ نوشتن روی تخته,
ピンチ,ピンチ,نیشگون گرفتن,
ペンチ,ペンチ,انبردست,
ベンチ,ベンチ,نیمکت,
パンチ,パンチ,پانچ,
はなはだしい,はなはだしい,تابلویه که ... (-),
つまらない,つまらない,حوصله سربر,
きよい,きよい,تمیز,
きつい,きつい,"تنگ ، سختی (کار)",
でたらめな,でたらめな,تصادفی (چیزی رو بگی),
しつこい,しつこい,اصرار,
モダンな,モダンな,مدرن,
オープンな,オープンな,بازشدن,
つぶす,つぶす,شکل دادن با دست,
ダブる,ダブる,دوتایی (دیدن) رو هم افتادن,
セミ,セミ,جیرجیرک,
たえず,たえず,منقرض شده,
さびる,さびる,زنگ زدن,
かかえる,かかえる,"نگه داشتن ، در آغوش گرفتن",To hold / To embrace / To carry
列挙する,れっきょする,برشمردن,enumerate
下部,かぶ,قسمت پاینن,
発射,はっしゃ,شلیک,
登場,とうじょう,ظاهر شدن,
資格試験,しかくしけん,آزمون صلاحیت,Qualifying examination
羨ましい,うらやましい,حس حسادت,"jealous , envious"
収入を得る,しゅうにゅうをえる,کسب درآمد,to obtain income
説得力,せっとくりょく,"قانع کنندگی
متقاعد سازی ",persuasiveness
感激,かんげき,"قدردانی عمیق
احساسات شدید","strong emotion
Deep gratitude"
心を込めて,こころをこめて,با تمام وجودم ,"wholeheartedly
with commitment"
関わり,かかわり,رابطه,relation
描く,えがく,رسم,to describe
注目の,ちゅうもくの,برجسته,~ in focus
純粋さ,じゅんすいさ,خلوص,purity
交換,こうかん,تبادل,exchange
物体,ぶったい,شی,substance
資源,しげん,منابع,resource
酸素,さんそ,اکسیژن,oxygen
水素,すいそ,هیدروژن,hydrogen
ヘリウム,ヘリウム,هلیوم,helium
カルシウム,カルシウム,کلسیم,culcium
元素,げんそ,عنصر,element
原子,げんし,اتم,atom
自然の,しぜんの,طبیعی,natural
半金属,はんきんぞく,نیمه فلزی,semi-metal
非金属,ひきんぞく,غیر فلزی,non-metal
化合物,かごうぶつ,ترکیب,compound
人工の,じんこうの,ساخته دست بشر,man-made
物質,ぶっしつ,ماده,matter
核反応,かくはんのう,واکنش هسته ای,nuclear reaction
着目,ちゃくもく,تمرکز,
コンプリヘンション,コンプリヘンション,درک مطلب,Complication
降順,こうじゅん,ترتیب نزولی,descending order
逆順,ぎゃくじゅん,ترکیب معکوس,Reversed
構造,こうぞう,ساختار,structure
昇順,しょうじゅん,ترتیب صعودی,ascending order
先頭,せんとう,"سر ، اولش",head
慎重に,ちんちょうに,با دقت,Carefully
貴意,きい,خواسته های شما,Valuable
益々,ますます,بیشتر و بیشتر,Increasingly
響き,ひびき,"طنین ، پژواک",Echo / Resonance / Sound
広く,ひろく,گسترده,
悪化,あっか,تشدید,
前年比,ぜんねんひ,سال به سال,
関連,かんれん,رابطه,
推移,すいい,تغییرات / گذار / تحول,Transition / Change / Progression
出生率,しゅっせいりつ,نرخ زاد و ولد,
抑制,よくせい,مهار کردن,
世界的,せかいてき,به طور جهانی,
エクボ,エクボ,چال گونه,dimples
ほくろ,ほくろ,خال,mole
にきび,にきび,"جوش ، آکنه",acne
茶道,さどう,ساختن چای,
和菓子,わがし,شیرینی ژاپنی,
先着順,せんちゃくじゅんです,بر اساس اولویت / به ترتیب ورود,"First-come, first-served"
苦情を言う,くじょうをいう,شکایت,complain
持つ,もつ,نگه داشتن,hold
故障中,こしょうちゅう,خارج از سرویس,out of order
